,blue_win,TOP_T1,JG_T1,MID_T1,ADC_T1,SUP_T1,TOP_T2,JG_T2,MID_T2,ADC_T2,SUP_T2
55,0,Gnar,Kha'Zix,Lux,Ezreal,Nautilus,Wukong,Gragas,Yasuo,Vayne,Lulu
56,0,Camille,Lee Sin,Veigar,Jhin,Pantheon,Akali,Master Yi,Fizz,Ezreal,Lulu
57,1,Renekton,Nidalee,Twisted Fate,Kai'Sa,Pyke,Akali,Graves,Zoe,Kalista,Rakan
58,1,Sett,Volibear,Katarina,Samira,Nautilus,Yasuo,Lillia,Kayle,Ezreal,Janna
59,0,Akali,Graves,Ekko,Ashe,Pantheon,Renekton,Nidalee,Kassadin,Ezreal,Janna
60,0,Syndra,Graves,Cassiopeia,Jhin,Janna,Yasuo,Kindred,Lulu,Ornn,Rakan
61,0,Fiora,Lillia,Lucian,Ashe,Nautilus,Gangplank,Kindred,Rumble,Jhin,Karma
62,0,Lucian,Lillia,Wukong,Jhin,Bard,Neeko,Fiddlesticks,Zed,Ashe,Lulu
63,0,Irelia,Lillia,Sylas,Jinx,Lulu,Annie,Hecarim,Yone,Senna,Leona
64,0,Camille,Fiddlesticks,Qiyana,Senna,Alistar,Ornn,Graves,Zoe,Aphelios,Pyke
65,0,Swain,Kha'Zix,Lissandra,Jhin,Leona,Maokai,Lillia,Lucian,Kalista,Thresh
66,0,Darius,Shaco,Vladimir,Kalista,Thresh,Jayce,Evelynn,Orianna,Tristana,Yuumi
67,0,Shen,Hecarim,Akali,Twitch,Rakan,Zilean,Nidalee,LeBlanc,Kai'Sa,Pyke
68,1,Camille,Hecarim,Twisted Fate,Samira,Taric,Poppy,Graves,Orianna,Ezreal,Pantheon
69,0,Neeko,Graves,Katarina,Jinx,Leona,Shen,Kindred,Orianna,Draven,Thresh
70,0,Malphite,Graves,Syndra,Ashe,Bard,Yasuo,Lillia,Sylas,Twitch,Sett
71,0,Tryndamere,Lillia,Qiyana,Ziggs,Sett,Fiora,Kindred,Orianna,Ezreal,Pantheon
72,0,Sion,Nidalee,Renekton,Miss Fortune,Zilean,Akali,Vi,Fizz,Aphelios,Janna
73,0,Lucian,Karthus,Sion,Ezreal,Yuumi,Ornn,Hecarim,Viktor,Kalista,Thresh
74,0,Lucian,Lillia,Katarina,Samira,Pantheon,Irelia,Kindred,Orianna,Draven,Lulu
75,0,Corki,Evelynn,Qiyana,Jhin,Thresh,Akali,Lee Sin,Neeko,Senna,Nautilus
76,0,Camille,Karthus,Sett,Draven,Lulu,Renekton,Shen,Cassiopeia,Ezreal,Braum
77,0,Volibear,Kha'Zix,LeBlanc,Samira,Nautilus,Jax,Graves,Ahri,Senna,Thresh
78,1,Ornn,Nidalee,Ryze,Twitch,Tahm Kench,Sylas,Lillia,Yone,Samira,Nautilus
79,1,Malphite,Lee Sin,Ekko,Jhin,Pantheon,Lulu,Kindred,Sylas,Ezreal,Bard
80,0,Akali,Kayn,Vel'Koz,Ezreal,Janna,Renekton,Graves,Sylas,Caitlyn,Thresh
81,0,Quinn,Graves,Zoe,Ashe,Karma,Renekton,Lillia,Pyke,Senna,Leona
82,0,Camille,Lillia,Ziggs,Lucian,Tahm Kench,Poppy,Gragas,Pyke,Miss Fortune,Nautilus
83,0,Akali,Kayn,Yasuo,Jhin,Janna,Riven,Gragas,Galio,Pyke,Sett
84,1,Shen,Lee Sin,Kassadin,Samira,Pantheon,Gangplank,Nidalee,Yasuo,Miss Fortune,Braum
85,0,Corki,Evelynn,Qiyana,Jhin,Thresh,Akali,Lee Sin,Neeko,Senna,Nautilus
86,0,Zilean,Master Yi,Lux,Senna,Taric,Maokai,Nidalee,Zoe,Jhin,Nautilus
87,1,Darius,Gragas,Neeko,Pyke,Sett,Fiora,Graves,Syndra,Senna,Tahm Kench
88,0,Lucian,Ekko,Talon,Karthus,Pantheon,Fiora,Gragas,Pyke,Ezreal,Nautilus
89,1,Malphite,Graves,Akali,Senna,Alistar,Jax,Ivern,Sylas,Samira,Pantheon
90,0,Ezreal,Lillia,Cassiopeia,Lucian,Leona,Sylas,Aphelios,Yone,Ekko,Braum
91,0,Urgot,Gragas,Pyke,Jhin,Thresh,Ornn,Nidalee,Nocturne,Ezreal,Janna
92,0,Renekton,Ekko,Yasuo,Ashe,Gragas,Ornn,Lee Sin,Akali,Senna,Sett
93,0,Teemo,Ekko,Qiyana,Senna,Tahm Kench,Ryze,Graves,Twisted Fate,Jhin,Leona
94,0,Shen,Shaco,Ahri,Jinx,Thresh,Gangplank,Kha'Zix,Lucian,Ziggs,Neeko
95,0,Ekko,Kha'Zix,Katarina,Samira,Nautilus,Teemo,Lee Sin,Pyke,Ziggs,Blitzcrank
96,1,Camille,Gragas,Sylas,Pyke,Maokai,Volibear,Nidalee,Qiyana,Kai'Sa,Sett
97,0,Lucian,Sejuani,Sylas,Ziggs,Pantheon,Akali,Lee Sin,Syndra,Ezreal,Sett
98,0,Neeko,Gragas,Talon,Samira,Nautilus,Akali,Graves,Kled,Senna,Leona
99,0,Ornn,Taliyah,Lucian,Samira,Pantheon,Sion,Kindred,Annie,Ezreal,Leona
100,0,Malphite,Fiddlesticks,Talon,Ashe,Pantheon,Tryndamere,Elise,Akali,Draven,Leona
101,0,Draven,Kayn,Ekko,Akali,Pantheon,Syndra,Lee Sin,Kennen,Ashe,Karma
102,0,Camille,Kindred,LeBlanc,Ashe,Leona,Ornn,Rengar,Orianna,Senna,Pantheon
103,0,Shen,Rengar,Syndra,Jhin,Zyra,Camille,Kha'Zix,Galio,Ashe,Lulu
104,0,Gangplank,Graves,Ekko,Ashe,Rakan,Pyke,Gragas,Sylas,Swain,Pantheon
105,1,Mordekaiser,Gragas,Pyke,Jhin,Leona,Orianna,Sett,Ornn,Senna,Tahm Kench
106,1,Volibear,Lillia,Syndra,Ashe,Janna,Irelia,Kayn,Sylas,Caitlyn,Zilean
107,0,Kennen,Xin Zhao,Lucian,Caitlyn,Morgana,Renekton,Evelynn,Syndra,Ezreal,Janna
108,0,Camille,Nunu & Willump,Kassadin,Ashe,Tahm Kench,Fiora,Lillia,Ekko,Jhin,Leona
109,0,Vladimir,Nunu & Willump,Talon,Ezreal,Bard,Malphite,Kindred,Orianna,Ashe,Nautilus
110,0,Lulu,Elise,Talon,Draven,Sett,Vladimir,Master Yi,Taric,Ashe,Thresh
111,0,Maokai,Nidalee,Lucian,Samira,Leona,Malphite,Lee Sin,Orianna,Taliyah,Rakan
112,0,Kennen,Graves,Qiyana,Taliyah,Nautilus,Darius,Nidalee,Ekko,Ashe,Tahm Kench
113,0,Aphelios,Kha'Zix,Orianna,Shen,Thresh,Darius,Lillia,Alistar,Ashe,Cassiopeia
114,1,Urgot,Gragas,Pyke,Jhin,Thresh,Ornn,Nidalee,Nocturne,Ezreal,Janna
115,1,Irelia,Skarner,Cassiopeia,Ashe,Yuumi,Shen,Hecarim,Sylas,Ezreal,Zilean
116,0,Urgot,Shyvana,Sett,Senna,Karma,Volibear,Nidalee,Yone,Ashe,Rakan
117,0,Vladimir,Lee Sin,Akali,Caitlyn,Leona,Maokai,Zac,Ziggs,Senna,Rakan
118,0,Jax,Qiyana,Sylas,Syndra,Alistar,Veigar,Nidalee,Sett,Ashe,Leona
119,0,Malphite,Shaco,Ekko,Senna,Tahm Kench,Mordekaiser,Lillia,Lucian,Aphelios,Leona
120,0,Ornn,Kindred,Sylas,Wukong,Nautilus,Camille,Nidalee,Syndra,Ashe,Pantheon
121,0,Camille,Graves,Teemo,Samira,Leona,Singed,Kha'Zix,Orianna,Senna,Blitzcrank
122,0,Maokai,Ekko,Orianna,Yasuo,Senna,Mordekaiser,Kha'Zix,Zoe,Jhin,Thresh
123,1,Camille,Kayn,Syndra,Kai'Sa,Leona,Ornn,Lillia,Lucian,Miss Fortune,Poppy
124,1,Irelia,Hecarim,Zoe,Twitch,Rakan,Jayce,Nidalee,Ziggs,Jhin,Leona
125,0,Darius,Kindred,Lulu,Ezreal,Alistar,Kennen,Shaco,Ekko,Ashe,Pantheon
126,0,Darius,Graves,Orianna,Yasuo,Vel'Koz,Neeko,Kindred,Galio,Jhin,Sett
127,0,Zilean,Master Yi,Lux,Senna,Taric,Maokai,Nidalee,Zoe,Jhin,Nautilus
128,0,Jax,Ekko,Vladimir,Jhin,Rakan,Gragas,Graves,Sett,Caitlyn,Morgana
129,0,Malphite,Kindred,Akali,Ashe,Alistar,Jayce,Nidalee,Yone,Jhin,Sett
130,0,Gangplank,Graves,Ryze,Ezreal,Alistar,Shen,Nidalee,Akali,Senna,Nautilus
131,0,Yasuo,Karthus,Darius,Ashe,Morgana,Maokai,Lee Sin,Veigar,Sett,Leona
132,0,Fiora,Kindred,Akali,Caitlyn,Zilean,Lucian,Lillia,Irelia,Jhin,Karma
133,0,Shen,Hecarim,Lulu,Ezreal,Pantheon,Camille,Lillia,Draven,Miss Fortune,Bard
134,0,Jax,Nidalee,Tristana,Aphelios,Nautilus,Sylas,Lee Sin,Veigar,Miss Fortune,Bard
135,0,Volibear,Graves,Sylas,Samira,Leona,Malphite,Lillia,Fizz,Caitlyn,Morgana
136,0,Malphite,Lee Sin,Twisted Fate,Ashe,Alistar,Sylas,Graves,Yasuo,Jhin,Braum
137,0,Gangplank,Hecarim,Karma,Senna,Nami,Vladimir,Graves,Sylas,Ashe,Lulu
138,0,Fiora,Lee Sin,Cassiopeia,Miss Fortune,Thresh,Malphite,Nidalee,Kled,Jhin,Nautilus
139,0,Jayce,Lee Sin,Sylas,Miss Fortune,Thresh,Shen,Kha'Zix,Cassiopeia,Jhin,Janna
140,0,Kayle,Rek'Sai,Galio,Ezreal,Yuumi,Gangplank,Elise,Akali,Draven,Thresh
141,1,Vladimir,Rek'Sai,Ezreal,Lucian,Pantheon,Renekton,Graves,Rumble,Jhin,Bard
142,0,Mordekaiser,Graves,Irelia,Kai'Sa,Pyke,Sion,Lillia,Qiyana,Miss Fortune,Bard
143,0,Yasuo,Karthus,Darius,Ashe,Morgana,Maokai,Lee Sin,Veigar,Sett,Leona
144,0,Sylas,Graves,Akali,Vayne,Leona,Cho'Gath,Lillia,Lucian,Kai'Sa,Nautilus
145,0,Renekton,Graves,Galio,Jinx,Lulu,Akali,Nidalee,Lucian,Jhin,Pantheon
146,0,Ornn,Graves,LeBlanc,Jhin,Alistar,Akali,Nidalee,Lucian,Aphelios,Leona
147,0,Volibear,Elise,Zoe,Samira,Nautilus,Kayle,Rek'Sai,Irelia,Ashe,Rakan
148,0,Samira,Olaf,Sylas,Ezreal,Annie,Jayce,Lee Sin,Ziggs,Lucian,Maokai
149,1,Wukong,Master Yi,Lucian,Ezreal,Bard,Camille,Rek'Sai,Kassadin,Draven,Janna
